time,machine,cycle_id,product,recipe,recipe_ver,mold_id,shot_count,phase,event,t_upper,t_lower,force,position,force_unit
2026-06-01 08:00:00,M-01,CYC-0001,LENS-A,RCP-A,3,MOLD-02,12000,preheat,cycle.started,181.9,180.0,0.0,0.00,kN
2026-06-01 08:00:20,M-01,CYC-0001,LENS-A,RCP-A,3,MOLD-02,12000,preheat,process.sample,300.3,296.0,0.0,-0.01,kN
2026-06-01 08:00:35,M-01,CYC-0001,LENS-A,RCP-A,3,MOLD-02,12000,soak,process.sample,341.5,339.4,0.0,2.01,kN
2026-06-01 08:00:50,M-01,CYC-0001,LENS-A,RCP-A,3,MOLD-02,12000,press,process.sample,378.8,376.8,523.5,4.07,kN
2026-06-01 08:01:05,M-01,CYC-0001,LENS-A,RCP-A,3,MOLD-02,12000,anneal,process.sample,419.0,413.4,526.0,6.03,kN
2026-06-01 08:01:20,M-01,CYC-0001,LENS-A,RCP-A,3,MOLD-02,12000,cool,process.sample,462.4,459.3,513.4,7.93,kN
2026-06-01 08:01:35,M-01,CYC-0001,LENS-A,RCP-A,3,MOLD-02,12000,cool,cycle.completed,120.8,115.6,0.0,10.00,kN
2026-06-01 08:02:05,M-01,CYC-0002,LENS-A,RCP-A,3,MOLD-02,12003,preheat,cycle.started,181.5,176.2,0.0,0.00,kN
2026-06-01 08:02:25,M-01,CYC-0002,LENS-A,RCP-A,3,MOLD-02,12003,preheat,process.sample,298.6,295.4,0.0,0.10,kN
2026-06-01 08:02:40,M-01,CYC-0002,LENS-A,RCP-A,3,MOLD-02,12003,soak,process.sample,337.3,332.7,0.0,1.91,kN
2026-06-01 08:02:55,M-01,CYC-0002,LENS-A,RCP-A,3,MOLD-02,12003,press,process.sample,380.0,375.2,530.2,3.92,kN
2026-06-01 08:03:10,M-01,CYC-0002,LENS-A,RCP-A,3,MOLD-02,12003,anneal,process.sample,417.7,415.6,517.8,6.02,kN
2026-06-01 08:03:25,M-01,CYC-0002,LENS-A,RCP-A,3,MOLD-02,12003,cool,process.sample,457.6,454.0,505.3,7.96,kN
2026-06-01 08:03:40,M-01,CYC-0002,LENS-A,RCP-A,3,MOLD-02,12003,cool,cycle.completed,119.6,117.2,0.0,10.00,kN
2026-06-01 08:04:10,M-01,CYC-0003,LENS-A,RCP-A,3,MOLD-02,12006,preheat,cycle.started,180.2,176.4,0.0,0.00,kN
2026-06-01 08:04:30,M-01,CYC-0003,LENS-A,RCP-A,3,MOLD-02,12006,preheat,process.sample,297.1,293.2,0.0,0.07,kN
2026-06-01 08:04:45,M-01,CYC-0003,LENS-A,RCP-A,3,MOLD-02,12006,soak,process.sample,337.6,336.4,0.0,1.93,kN
2026-06-01 08:05:00,M-01,CYC-0003,LENS-A,RCP-A,3,MOLD-02,12006,press,process.sample,377.7,372.8,506.7,3.97,kN
2026-06-01 08:05:15,M-01,CYC-0003,LENS-A,RCP-A,3,MOLD-02,12006,anneal,process.sample,421.7,417.4,514.9,5.90,kN
2026-06-01 08:05:30,M-01,CYC-0003,LENS-A,RCP-A,3,MOLD-02,12006,cool,process.sample,461.0,459.8,509.0,8.10,kN
